Student ID,Name,Status,Timestamp
190000001,Doakes,Absent,2026-09-25 22:24:00
221901478,Elba,Absent,2026-09-25 22:24:00
676767676,FerdinandMarcos,Absent,2026-09-25 22:24:00
236791503,Hart,Absent,2026-09-25 22:24:00
235680492,House,Absent,2026-09-25 22:24:00
230549318,Jacob,Absent,2026-09-25 22:24:00
204950387,Jiang,Absent,2026-09-25 22:24:00
230332752,John,Absent,2026-09-25 22:24:00
220890367,Kirk,Absent,2026-09-25 22:24:00
211174522,Kurt,Absent,2026-09-25 22:24:00
220909111,Richards,Absent,2026-09-25 22:24:00
696969696,Siso,Absent,2026-09-25 22:24:00
230118315,Sophia,Absent,2026-09-25 22:24:00
230217474,Villocillo,Late,2026-09-25 22:23:46
196422390,Wally,Absent,2026-09-25 22:24:00
250430348,WeiamAspiras,Present,2026-09-25 22:22:17
